aaa,2,22/05/2025 23:15,2,42
bbb,3,22/05/2025 23:15,1,29
q,2,22/05/2025 23:28,2,46
s,3,22/05/2025 23:28,1,38
bbbb,4,22/05/2025 23:38,1,73
aaa,1,22/05/2025 23:38,14,50
bbbb,1,22/05/2025 23:39,5,69
aaa,4,22/05/2025 23:39,1,17
asia,3,01/06/2025 12:32,2,49
kasia,2,01/06/2025 12:32,2,07
b,3,04/08/2025 18:15,2,42
a,2,04/08/2025 18:15,20,10
b,4,04/08/2025 18:22,1,39
a,1,04/08/2025 18:22,11,85
a,2,04/08/2025 18:23,6,43
b,3,04/08/2025 18:23,2,41
a,2,04/08/2025 18:24,5,53
b,3,04/08/2025 18:24,1,55
aaaaaaaa,5,11/08/2025 17:50,3,02
bbbbb,0,11/08/2025 17:50,3,63
2222222222222222222,0,11/08/2025 17:53,0,00
111111111111111111,5,11/08/2025 17:53,0,00
a,0,11/08/2025 17:56,14,14
b,5,11/08/2025 17:56,1,08
b,4,11/08/2025 17:57,1,65
a,1,11/08/2025 17:57,5,90
b,0,11/08/2025 17:57,7,52
a,5,11/08/2025 17:57,0,64
